id_student,code_module,weighted_score,date_registration
255548,AAA,68.4,-103.0
256815,AAA,77.7,-117.0
258392,AAA,59.1,-68.0
258894,AAA,64.4,-172.0
260355,AAA,17.5,-186.0
262011,AAA,72.1,-145.0
262934,AAA,76.0,-191.0
268073,AAA,75.5,-33.0
268733,AAA,12.1,-17.0
271251,AAA,76.9,-68.0
277880,AAA,33.6,-108.0
279572,AAA,79.6,-138.0
281022,AAA,73.8,-74.0
281250,AAA,54.3,-64.0
281589,AAA,,-50.0
282821,AAA,58.8,-107.0
286488,AAA,73.5,-8.0
287548,AAA,67.9,-52.0
290201,AAA,69.8,-96.0
290757,AAA,74.5,-141.0
291334,AAA,82.9,-132.0
292923,AAA,,-162.0
293699,AAA,41.5,-27.0
294570,AAA,78.7,-80.0
294594,AAA,51.0,-145.0
295741,AAA,51.9,-17.0
296332,AAA,84.3,-115.0
298696,AAA,81.8,-32.0
300398,AAA,78.3,-59.0
302302,AAA,29.4,-83.0
305152,AAA,6.4,-18.0
305386,AAA,78.1,-66.0
305539,AAA,,-54.0
306107,AAA,54.9,-107.0
306466,AAA,82.6,-58.0
306897,AAA,60.9,-123.0
307061,AAA,81.3,-31.0
307866,AAA,43.3,-107.0
311917,AAA,60.4,-121.0
312537,AAA,87.8,-79.0
312782,AAA,58.5,-59.0
318933,AAA,66.6,-100.0
319047,AAA,78.6,-47.0
321942,AAA,80.2,-67.0
324002,AAA,80.2,-32.0
324084,AAA,57.5,-165.0
324282,AAA,64.6,-32.0
331358,AAA,8.4,-67.0
332789,AAA,75.1,-64.0
333059,AAA,62.6,-103.0
333323,AAA,74.2,-53.0
334259,AAA,15.5,-32.0
334333,AAA,3.6,-192.0
335764,AAA,43.2,-196.0
336207,AAA,67.4,-110.0
339972,AAA,47.8,-57.0
341872,AAA,63.8,48.0
342007,AAA,7.5,-71.0
342514,AAA,78.4,-81.0
342972,AAA,61.5,-60.0
343446,AAA,79.6,-49.0
344282,AAA,47.4,-12.0
345068,AAA,79.5,-37.0
345357,AAA,82.0,-18.0
346025,AAA,82.4,-75.0
346843,AAA,,-44.0
350188,AAA,73.4,-49.0
354858,AAA,,-32.0
357668,AAA,29.3,-38.0
364177,AAA,48.8,-129.0
365244,AAA,55.6,-38.0
365642,AAA,70.4,-52.0
366483,AAA,77.0,-4.0
368194,AAA,49.1,-123.0
368824,AAA,53.7,-60.0
368963,AAA,67.4,-19.0
376439,AAA,87.3,-87.0
376581,AAA,73.0,-64.0
380953,AAA,67.0,-155.0
383254,AAA,76.3,-61.0
386924,AAA,68.9,-192.0
386952,AAA,68.8,-38.0
388722,AAA,63.7,-179.0
388885,AAA,61.9,-185.0
390890,AAA,34.3,-31.0
392756,AAA,43.5,-58.0
392931,AAA,69.1,-54.0
393207,AAA,74.8,-38.0
396872,AAA,61.1,-23.0
398552,AAA,45.0,-57.0
401869,AAA,67.0,-53.0
402470,AAA,70.7,-130.0
404804,AAA,41.6,-129.0
405088,AAA,77.3,-67.0
405961,AAA,,-170.0
414117,AAA,76.0,-73.0
415969,AAA,29.1,-60.0
420087,AAA,37.6,-15.0
429958,AAA,58.3,-58.0
441018,AAA,61.0,-52.0
441888,AAA,70.0,-53.0
442442,AAA,12.3,-32.0
444677,AAA,86.9,-38.0
470588,AAA,8.6,-43.0
489455,AAA,70.0,-120.0
494424,AAA,,-38.0
495284,AAA,65.0,-29.0
498857,AAA,72.6,-16.0
508818,AAA,69.9,-156.0
512460,AAA,73.2,-32.0
544103,AAA,81.0,-127.0
550383,AAA,73.0,-51.0
564450,AAA,58.0,-43.0
568601,AAA,24.1,-30.0
572652,AAA,73.7,-158.0
580389,AAA,70.6,-22.0
581129,AAA,16.0,-38.0
588775,AAA,82.4,-17.0
591774,AAA,73.4,-46.0
603861,AAA,64.0,-38.0
606143,AAA,18.6,-43.0
704156,AAA,66.3,-29.0
705379,AAA,80.7,-57.0
721259,AAA,0.0,-73.0
749412,AAA,70.2,-138.0
760729,AAA,81.5,-67.0
905042,AAA,78.0,-91.0
949618,AAA,60.3,-59.0
958987,AAA,77.2,-67.0
968578,AAA,73.4,-170.0
969076,AAA,39.6,-42.0
971027,AAA,67.2,-62.0
978739,AAA,56.5,-108.0
1035023,AAA,69.9,-87.0
1105478,AAA,81.2,-144.0
1352868,AAA,19.6,-63.0
1401935,AAA,9.5,-35.0
1402638,AAA,75.0,-195.0
1414443,AAA,17.8,-169.0
1456619,AAA,,-87.0
1465690,AAA,80.9,-38.0
1472925,AAA,62.2,20.0
1488959,AAA,60.2,-30.0
1518989,AAA,72.2,-102.0
1618738,AAA,77.9,-95.0
1620151,AAA,22.5,-95.0
1626710,AAA,84.9,-195.0
1640609,AAA,85.3,-191.0
1686521,AAA,6.8,-124.0
1729319,AAA,77.5,-106.0
1746134,AAA,84.0,-30.0
1758449,AAA,17.9,-198.0
1763015,AAA,,-58.0
1765788,AAA,67.5,-43.0
1801229,AAA,76.7,-106.0
1801641,AAA,77.8,-32.0
1847830,AAA,69.1,-164.0
1860318,AAA,62.8,-53.0
1889511,AAA,71.2,-42.0
1889577,AAA,73.2,-81.0
1894188,AAA,69.7,-57.0
1938355,AAA,71.2,-102.0
1942396,AAA,54.9,-29.0
1970390,AAA,83.8,-108.0
1976139,AAA,50.3,-195.0
2011876,AAA,75.6,-32.0
2012966,AAA,79.1,-102.0
2051699,AAA,67.3,-137.0
2062879,AAA,62.1,-74.0
2065691,AAA,18.4,-16.0
2073016,AAA,30.2,-65.0
2080474,AAA,67.2,-123.0
2083877,AAA,68.1,-45.0
2084066,AAA,41.3,-148.0
2104505,AAA,64.1,-65.0
2122180,AAA,82.3,-35.0
2139353,AAA,33.1,-59.0
2143752,AAA,52.9,-46.0
2146792,AAA,70.0,-59.0
2149225,AAA,,-36.0
2153153,AAA,61.8,-49.0
2155014,AAA,73.9,-32.0
2164705,AAA,7.0,-43.0
2171627,AAA,68.4,-50.0
2182846,AAA,66.3,-113.0
2194100,AAA,67.3,-108.0
2197016,AAA,75.7,-35.0
2208424,AAA,69.9,-66.0
2229865,AAA,77.1,-116.0
2255601,AAA,14.7,-28.0
2268379,AAA,83.6,-74.0
2278464,AAA,48.9,-129.0
2293923,AAA,60.5,-85.0
2312620,AAA,18.1,-45.0
2318055,AAA,,-56.0
2324976,AAA,,-101.0
2329342,AAA,58.8,-56.0
2339528,AAA,80.5,-57.0
2342426,AAA,74.2,-38.0
2344901,AAA,34.5,-24.0
2358056,AAA,69.8,-102.0
2358969,AAA,6.8,-53.0
2364471,AAA,81.6,-80.0
2365101,AAA,,-129.0
2367155,AAA,75.7,-22.0
2369266,AAA,51.2,-94.0
2376496,AAA,75.5,-185.0
2391984,AAA,50.9,-101.0
2411661,AAA,45.3,-17.0
2411778,AAA,24.3,-35.0
2412002,AAA,83.1,-38.0
2412967,AAA,77.5,-73.0
2429854,AAA,5.1,-52.0
2437837,AAA,74.9,-53.0
2449878,AAA,60.5,-32.0
2456480,AAA,10.8,-71.0
2457256,AAA,70.5,-50.0
2458355,AAA,91.0,-81.0
2460080,AAA,77.1,-52.0
2461190,AAA,16.2,-11.0
2469673,AAA,40.1,-22.0
2470694,AAA,13.4,-106.0
2479954,AAA,79.7,-46.0
2481901,AAA,74.8,-195.0
2482700,AAA,55.8,-59.0
2486127,AAA,74.4,-144.0
2498700,AAA,77.9,-43.0
2516503,AAA,79.2,-65.0
2518069,AAA,76.7,-105.0
2521459,AAA,61.5,-158.0
2523736,AAA,43.6,-46.0
2529279,AAA,78.8,-67.0
2532302,AAA,60.3,-65.0
2536991,AAA,83.4,-87.0
2542724,AAA,,-59.0
2550279,AAA,62.8,-153.0
2551220,AAA,63.4,-94.0
2552472,AAA,15.2,-38.0
2555340,AAA,79.2,-67.0
2557283,AAA,81.6,-80.0
2559575,AAA,73.1,-31.0
2562034,AAA,65.4,-30.0
2566163,AAA,70.9,-91.0
2566592,AAA,71.8,-35.0
2569324,AAA,,-81.0
2574528,AAA,77.3,-16.0
2574583,AAA,71.9,-63.0
2576122,AAA,6.4,-137.0
2578995,AAA,80.1,-62.0
2586560,AAA,72.8,-94.0
2594139,AAA,73.5,-74.0
2598871,AAA,74.0,-128.0
2599352,AAA,75.7,-106.0
2600688,AAA,70.1,-165.0
2606098,AAA,72.2,-102.0
2613116,AAA,79.8,-63.0
2617002,AAA,65.2,-46.0
2620584,AAA,,-109.0
2639449,AAA,42.1,-127.0
2639540,AAA,79.9,-38.0
2639641,AAA,66.5,-48.0
2641155,AAA,79.2,-71.0
2643002,AAA,48.8,-52.0
2645733,AAA,81.2,-100.0
2649826,AAA,84.7,-144.0
2650282,AAA,84.3,-29.0
2664024,AAA,66.2,-31.0
2666246,AAA,76.2,-43.0
2669816,AAA,54.0,-58.0
2671132,AAA,69.8,-38.0
2676809,AAA,21.4,-31.0
2678643,AAA,69.7,-25.0
2685865,AAA,78.9,-101.0
2688067,AAA,68.4,-31.0
2689958,AAA,81.2,-71.0
2691206,AAA,84.7,-109.0
2691244,AAA,52.8,-87.0
2694424,AAA,76.5,-170.0
2698257,AAA,69.4,-58.0
6516,AAA,63.5,-52.0
24734,AAA,47.5,-18.0
26192,AAA,86.3,-38.0
28061,AAA,77.4,-130.0
31600,AAA,55.5,-52.0
46844,AAA,66.5,-74.0
52765,AAA,61.5,-22.0
55104,AAA,71.3,-87.0
58071,AAA,74.9,-72.0
58316,AAA,72.9,-80.0
62487,AAA,70.6,-50.0
63165,AAA,52.1,-82.0
65002,AAA,20.2,-144.0
70011,AAA,81.3,-78.0
75255,AAA,83.0,-58.0
79403,AAA,29.2,-23.0
85092,AAA,46.4,-52.0
85144,AAA,78.8,-41.0
85302,AAA,71.0,-72.0
87431,AAA,25.0,-106.0
94961,AAA,61.7,-150.0
95755,AAA,12.2,-80.0
101116,AAA,82.9,-80.0
107489,AAA,80.5,-81.0
108872,AAA,60.9,-80.0
109155,AAA,67.2,-80.0
111512,AAA,,-16.0
117818,AAA,56.5,-92.0
119902,AAA,46.1,-31.0
121349,AAA,77.3,-28.0
124064,AAA,87.6,-44.0
125018,AAA,64.3,-36.0
129955,AAA,40.1,-143.0
130034,AAA,77.6,-82.0
130547,AAA,58.0,-25.0
130636,AAA,59.7,-68.0
131390,AAA,78.7,-115.0
133816,AAA,66.0,-15.0
133922,AAA,77.9,-110.0
135335,AAA,,-82.0
135400,AAA,48.4,-51.0
135471,AAA,84.2,-149.0
139033,AAA,61.7,-46.0
141377,AAA,47.0,-127.0
141506,AAA,7.5,-28.0
146503,AAA,61.9,-30.0
147756,AAA,64.5,-41.0
148993,AAA,84.0,-154.0
149741,AAA,67.2,-74.0
149962,AAA,68.9,-92.0
151587,AAA,32.9,-129.0
152668,AAA,7.1,-72.0
155984,AAA,79.0,-156.0
158707,AAA,36.9,-57.0
159954,AAA,35.1,-24.0
164944,AAA,62.7,-148.0
165226,AAA,7.7,-22.0
167961,AAA,76.3,-44.0
174024,AAA,61.3,-85.0
174094,AAA,76.0,-89.0
174745,AAA,66.1,-30.0
175447,AAA,70.0,-115.0
175772,AAA,8.5,-45.0
183057,AAA,66.4,-23.0
185350,AAA,57.5,-22.0
188278,AAA,69.6,-64.0
199636,AAA,73.8,-30.0
199897,AAA,69.6,3.0
200804,AAA,64.1,-80.0
205494,AAA,64.0,-45.0
228021,AAA,82.2,-68.0
228383,AAA,70.1,-21.0
232307,AAA,64.9,-107.0
235068,AAA,59.6,-156.0
235507,AAA,56.3,-135.0
236875,AAA,46.7,-20.0
237274,AAA,72.2,-155.0
243510,AAA,42.5,-16.0
244246,AAA,67.8,-137.0
248581,AAA,85.0,-61.0
252073,AAA,47.0,-5.0
254625,AAA,82.4,-50.0
258587,AAA,81.1,-109.0
260355,AAA,,-156.0
260623,AAA,69.5,-28.0
263251,AAA,74.0,-73.0
263543,AAA,78.8,-56.0
263952,AAA,89.9,-38.0
266524,AAA,54.9,-134.0
268733,AAA,,-10.0
273346,AAA,82.1,-155.0
274947,AAA,49.9,-43.0
275674,AAA,22.0,-155.0
275792,AAA,73.6,-37.0
277123,AAA,44.2,-20.0
277880,AAA,33.6,-11.0
281077,AAA,72.6,-103.0
281636,AAA,83.1,-73.0
285315,AAA,86.3,-36.0
287040,AAA,73.1,-155.0
287204,AAA,74.4,-79.0
287210,AAA,72.9,-156.0
288994,AAA,,-10.0
289449,AAA,74.8,-122.0
290164,AAA,65.0,-88.0
292525,AAA,84.6,-52.0
292775,AAA,82.8,-35.0
293824,AAA,58.7,-50.0
294496,AAA,80.0,-147.0
294655,AAA,77.9,-49.0
295060,AAA,67.7,-66.0
295075,AAA,63.7,-114.0
296424,AAA,78.9,-84.0
298034,AAA,72.4,-49.0
298838,AAA,80.4,-66.0
301967,AAA,53.5,-35.0
302476,AAA,85.7,-156.0
303521,AAA,80.6,-108.0
303985,AAA,76.9,-24.0
304465,AAA,75.1,-135.0
306646,AAA,52.7,-22.0
309142,AAA,65.8,-38.0
310412,AAA,77.1,-81.0
311235,AAA,64.9,-123.0
311659,AAA,,2.0
313937,AAA,81.4,-32.0
315076,AAA,67.3,-22.0
315744,AAA,82.9,-53.0
323370,AAA,71.3,-53.0
323805,AAA,,-144.0
328024,AAA,50.9,-45.0
328734,AAA,,-144.0
329659,AAA,47.8,-128.0
330594,AAA,58.8,-14.0
331358,AAA,85.0,-150.0
332884,AAA,81.9,-29.0
334441,AAA,40.2,-154.0
335247,AAA,71.3,-29.0
335764,AAA,87.6,-108.0
337748,AAA,4.4,-70.0
338407,AAA,72.0,-67.0
341876,AAA,20.6,-155.0
342007,AAA,83.9,-130.0
345440,AAA,73.0,-46.0
345519,AAA,76.7,-88.0
346118,AAA,72.1,-148.0
348275,AAA,16.3,-103.0
348807,AAA,75.7,-22.0
350156,AAA,51.3,-50.0
350939,AAA,69.4,-124.0
351336,AAA,66.5,-130.0
353665,AAA,63.9,-51.0
354170,AAA,56.2,-124.0
356170,AAA,58.6,-149.0
358182,AAA,74.3,-96.0
364957,AAA,61.1,-37.0
369834,AAA,73.6,-74.0
371710,AAA,80.2,-128.0
373872,AAA,65.0,-25.0
375260,AAA,69.6,-122.0
375646,AAA,75.2,-38.0
377546,AAA,83.4,-37.0
381642,AAA,79.6,-88.0
382095,AAA,77.0,-88.0
383180,AAA,34.9,-88.0
383600,AAA,78.8,-32.0
383723,AAA,80.3,-113.0
384203,AAA,76.3,-155.0
384725,AAA,80.5,-137.0
387533,AAA,15.2,-50.0
387954,AAA,,-150.0
388147,AAA,11.9,-84.0
390890,AAA,68.2,-65.0
391249,AAA,81.6,-25.0
396599,AAA,37.4,-67.0
396655,AAA,42.3,-37.0
398171,AAA,69.3,-42.0
398349,AAA,78.6,-108.0
400147,AAA,60.0,-154.0
400682,AAA,52.1,-115.0
401404,AAA,76.7,-58.0
402204,AAA,72.0,-43.0
402727,AAA,74.0,-50.0
402961,AAA,67.9,-140.0
404356,AAA,75.3,-81.0
406671,AAA,77.7,-78.0
406682,AAA,83.8,-156.0
409100,AAA,79.1,-124.0
409703,AAA,64.1,-78.0
410092,AAA,66.7,-81.0
411971,AAA,72.7,-44.0
415969,AAA,29.1,-108.0
418731,AAA,39.5,-85.0
421455,AAA,77.2,-121.0
424577,AAA,57.2,-114.0
429858,AAA,82.9,-53.0
431025,AAA,54.8,-46.0
439305,AAA,70.5,-127.0
440319,AAA,33.3,-88.0
442064,AAA,52.0,-18.0
442132,AAA,67.5,-122.0
446108,AAA,57.1,-106.0
447481,AAA,55.5,-21.0
468120,AAA,11.8,-106.0
468694,AAA,61.0,-23.0
470588,AAA,21.8,-154.0
470982,AAA,62.1,-31.0
476603,AAA,84.2,-72.0
481022,AAA,25.4,-30.0
483800,AAA,71.0,-49.0
484897,AAA,61.1,-109.0
485962,AAA,80.9,-121.0
488382,AAA,,-155.0
488990,AAA,54.3,-137.0
500113,AAA,76.4,-109.0
503889,AAA,69.5,-70.0
514526,AAA,,-22.0
518808,AAA,74.1,-10.0
522482,AAA,7.5,-87.0
527100,AAA,91.6,-24.0
527801,AAA,39.1,-153.0
533068,AAA,60.4,-30.0
537081,AAA,61.4,-23.0
544253,AAA,73.1,-24.0
548120,AAA,73.7,-25.0
561467,AAA,,-46.0
567922,AAA,,-49.0
569505,AAA,85.9,-60.0
570317,AAA,75.4,-24.0
574505,AAA,41.7,-153.0
588477,AAA,75.0,-141.0
593846,AAA,64.5,-154.0
593987,AAA,72.5,-24.0
596288,AAA,76.7,-57.0
598070,AAA,,-150.0
603834,AAA,61.4,-5.0
603861,AAA,64.0,-92.0
608440,AAA,,-37.0
623710,AAA,,-129.0
623840,AAA,79.5,-108.0
626240,AAA,56.3,-25.0
628088,AAA,8.0,-135.0
628312,AAA,,-14.0
630142,AAA,25.0,-24.0
637665,AAA,49.8,-93.0
639053,AAA,65.9,-149.0
642878,AAA,12.4,-108.0
648130,AAA,53.5,-53.0
676546,AAA,51.5,-38.0
677186,AAA,57.3,-66.0
677281,AAA,,-17.0
684180,AAA,62.7,-21.0
687698,AAA,54.3,-4.0
696073,AAA,74.7,-22.0
696578,AAA,38.5,-22.0
721259,AAA,6.5,-30.0
852847,AAA,9.6,-87.0
998493,AAA,67.6,-135.0
1045203,AAA,79.4,-155.0
1112555,AAA,66.6,-122.0
1183831,AAA,35.2,-115.0
1268696,AAA,61.2,-79.0
1336190,AAA,,-23.0
1352868,AAA,67.2,-57.0
1398979,AAA,50.6,-72.0
1456619,AAA,6.3,-99.0
1469279,AAA,,-51.0
1471214,AAA,71.4,-32.0
1472925,AAA,63.0,5.0
1484804,AAA,66.8,-88.0
1511033,AAA,75.3,-67.0
1576513,AAA,86.9,-84.0
1609002,AAA,79.8,-109.0
1629771,AAA,79.5,-115.0
1676594,AAA,,-73.0
1686551,AAA,8.0,-99.0
1689639,AAA,21.9,-154.0
1715896,AAA,77.8,-42.0
1721270,AAA,57.5,-136.0
1757766,AAA,70.9,-150.0
1773377,AAA,74.4,-37.0
1799111,AAA,77.6,-94.0
1818673,AAA,8.6,-44.0
1839386,AAA,4.0,-67.0
1926668,AAA,61.4,-155.0
1947156,AAA,77.7,-109.0
1967783,AAA,64.2,-129.0
1970390,AAA,83.8,-119.0
1975209,AAA,65.2,-74.0
2010232,AAA,83.8,-7.0
2045084,AAA,7.2,-52.0
2057803,AAA,63.5,-53.0
2073016,AAA,45.2,-86.0
2085209,AAA,87.5,-59.0
2086400,AAA,70.1,-79.0
2139353,AAA,66.9,-79.0
2148681,AAA,72.5,-102.0
2158048,AAA,8.6,-8.0
2158196,AAA,17.2,-115.0
2165164,AAA,62.2,-86.0
2168833,AAA,2.4,-53.0
2207874,AAA,26.2,-108.0
2240349,AAA,77.2,-108.0
2244332,AAA,85.5,-51.0
2273119,AAA,18.0,-44.0
2277857,AAA,64.9,-119.0
2297896,AAA,64.0,-59.0
2313257,AAA,,-101.0
2318055,AAA,76.0,-53.0
2330254,AAA,70.9,-153.0
2355470,AAA,53.2,-115.0
2358969,AAA,70.3,-46.0
2363863,AAA,80.8,-155.0
2365101,AAA,,-85.0
2369415,AAA,55.3,-64.0
2375975,AAA,71.7,-53.0
2397661,AAA,49.9,-29.0
2398313,AAA,71.2,-42.0
2404408,AAA,14.2,-17.0
2425993,AAA,68.0,-16.0
2429854,AAA,,-37.0
2432796,AAA,63.4,-59.0
2434159,AAA,51.9,-31.0
2436812,AAA,17.2,-51.0
2467267,AAA,71.7,-59.0
2470694,AAA,13.4,-115.0
2473538,AAA,54.5,-146.0
2474849,AAA,3.5,-73.0
2494700,AAA,84.1,-56.0
2500258,AAA,72.9,-102.0
2507842,AAA,7.9,-128.0
2509639,AAA,67.0,-87.0
2514368,AAA,82.9,-23.0
2514898,AAA,67.6,-128.0
2521865,AAA,61.7,-50.0
2522927,AAA,66.8,-140.0
2540168,AAA,21.6,-46.0
2546445,AAA,7.3,-30.0
2551797,AAA,64.2,-46.0
2551932,AAA,14.0,-38.0
2569324,AAA,72.6,-10.0
2574990,AAA,56.7,-42.0
2576122,AAA,6.4,-17.0
2578676,AAA,71.0,-156.0
2581477,AAA,47.8,-109.0
2584873,AAA,62.8,-28.0
2595841,AAA,55.4,-87.0
2596621,AAA,73.0,-101.0
2601889,AAA,80.9,-49.0
2602338,AAA,21.8,10.0
2606802,AAA,5.8,-37.0
2624961,AAA,62.2,-23.0
2630087,AAA,,-49.0
2633226,AAA,54.1,-46.0
2642616,AAA,57.1,-56.0
2642935,AAA,83.7,-128.0
2648611,AAA,78.2,-155.0
2649800,AAA,66.0,-153.0
2654628,AAA,72.1,-35.0
2677624,AAA,70.5,-59.0
2680312,AAA,79.7,-44.0
2688166,AAA,45.4,-56.0
2690062,AAA,5.8,-25.0
2692514,AAA,78.1,-44.0
2694788,AAA,16.1,-92.0
23629,BBB,16.69,-47.0
25107,BBB,60.51,-73.0
27891,BBB,27.81,-58.0
29144,BBB,53.02,-24.0
31663,BBB,63.92,-60.0
33666,BBB,17.94,-23.0
34229,BBB,65.07,-58.0
34353,BBB,65.73,-16.0
34431,BBB,0.8,-24.0
34694,BBB,,-55.0
34756,BBB,13.53,-43.0
34863,BBB,63.22,-65.0
35812,BBB,3.55,-53.0
39655,BBB,82.98,-22.0
50993,BBB,22.75,-53.0
52899,BBB,4.4,-117.0
58089,BBB,4.75,-58.0
62631,BBB,43.99,-45.0
70608,BBB,77.95,-17.0
71433,BBB,,-19.0
72070,BBB,,-24.0
74695,BBB,75.34,-64.0
74734,BBB,74.66,2.0
75399,BBB,51.37,-24.0
78645,BBB,29.39,-28.0
79378,BBB,,-24.0
82535,BBB,61.45,-19.0
82741,BBB,64.68,-60.0
83254,BBB,63.13,-51.0
84245,BBB,84.92,-27.0
84664,BBB,64.25,-92.0
86291,BBB,4.35,-15.0
87604,BBB,,-111.0
87732,BBB,59.55,-66.0
88580,BBB,,-23.0
91322,BBB,73.22,-19.0
92274,BBB,20.45,-96.0
92832,BBB,54.12,-65.0
92947,BBB,83.2,-227.0
92993,BBB,55.07,-43.0
94616,BBB,55.16,-22.0
96291,BBB,,-51.0
97154,BBB,70.61,-50.0
98313,BBB,78.82,-22.0
102849,BBB,,-51.0
104054,BBB,91.07,-19.0
108377,BBB,62.17,-53.0
108589,BBB,81.19,-108.0
109938,BBB,88.33,-44.0
110881,BBB,66.31,-43.0
116603,BBB,66.93,-28.0
117071,BBB,9.28,-25.0
120994,BBB,8.1,-19.0
122524,BBB,,-68.0
123379,BBB,,-131.0
123860,BBB,75.06,-29.0
126322,BBB,36.37,-106.0
126411,BBB,1.0,-124.0
127209,BBB,,-255.0
128776,BBB,,-97.0
133155,BBB,87.83,-55.0
133531,BBB,,-24.0
133748,BBB,38.46,-61.0
141823,BBB,2.9,-47.0
142324,BBB,41.22,-23.0
143741,BBB,79.24,-16.0
143854,BBB,,-23.0
145544,BBB,75.27,-45.0
147876,BBB,40.48,-53.0
151697,BBB,80.22,-23.0
152153,BBB,19.77,-93.0
152910,BBB,62.64,-8.0
152929,BBB,56.23,-104.0
153212,BBB,78.92,-82.0
153704,BBB,35.39,-166.0
154027,BBB,54.06,-19.0
154125,BBB,66.97,-17.0
154540,BBB,77.99,-34.0
155735,BBB,,-45.0
156835,BBB,67.82,-135.0
161678,BBB,2.0,-27.0
165243,BBB,55.78,-25.0
169515,BBB,12.14,-50.0
170356,BBB,3.25,-46.0
171377,BBB,,-90.0
173316,BBB,28.6,-99.0
173335,BBB,51.19,-61.0
174321,BBB,,-82.0
177639,BBB,,-24.0
179605,BBB,15.88,-68.0
182824,BBB,73.69,-43.0
183806,BBB,6.25,-104.0
185240,BBB,,-87.0
185349,BBB,78.03,-54.0
186670,BBB,59.38,-11.0
186780,BBB,0.0,-117.0
186988,BBB,30.93,-15.0
187793,BBB,50.94,-127.0
188152,BBB,90.63,-19.0
192424,BBB,75.06,-74.0
193822,BBB,65.36,-25.0
197595,BBB,75.25,-24.0
198956,BBB,70.81,-29.0
199520,BBB,80.33,-22.0
200863,BBB,,-77.0
200905,BBB,46.5,-121.0
203108,BBB,30.19,-117.0
203481,BBB,70.27,-34.0
203652,BBB,,-22.0
204746,BBB,71.32,-25.0
205231,BBB,,-58.0
226374,BBB,58.54,-115.0
226827,BBB,83.91,-72.0
228049,BBB,,-54.0
228235,BBB,,-127.0
229240,BBB,71.85,-34.0
229426,BBB,82.59,-25.0
230348,BBB,,-121.0
232600,BBB,,-59.0
232695,BBB,74.97,-108.0
232745,BBB,,-77.0
235097,BBB,18.21,-85.0
